Flow Run 1
features=['f_pt', 'k_star', 'd_y', 'd_phi', 'cos_theta_star'] | FLOW_DIM=21 | N_LAYERS=6 | HIDDEN=128
BATCH_SIZE=256 | LR=0.001 | EPOCHS=200 | PATIENCE=30
Dataset: 103751 Omega, 50081 Anti
Flow training on Anti events only: 50081 events
Anti train: 40064 | Anti val: 10017
Flow parameters: 124,158

Starting flow training (NLL loss on Anti events)...

Epoch 183 | train_nll=13.7602 | val_nll=14.2939 | lr=3.91e-06 | best=14.2884
Epoch 184 | train_nll=13.7571 | val_nll=14.2932 | lr=3.91e-06 | best=14.2884
Epoch 185 | train_nll=13.7568 | val_nll=14.2927 | lr=3.91e-06 | best=14.2884
Epoch 186 | train_nll=13.7569 | val_nll=14.2917 | lr=3.91e-06 | best=14.2884
Epoch 187 | train_nll=13.7568 | val_nll=14.2944 | lr=3.91e-06 | best=14.2884
Epoch 188 | train_nll=13.7567 | val_nll=14.2926 | lr=3.91e-06 | best=14.2884
Epoch 189 | train_nll=13.7565 | val_nll=14.2916 | lr=3.91e-06 | best=14.2884
Epoch 190 | train_nll=13.7565 | val_nll=14.2930 | lr=3.91e-06 | best=14.2884
Epoch 191 | train_nll=13.7566 | val_nll=14.2931 | lr=3.91e-06 | best=14.2884

Early stopping at epoch 191 (no improvement for 30 epochs)

Best val NLL: 14.2884
Checkpoint saved to models/omega_flow.pth
