NCE v2 Run 5 | features=['f_pt', 'k_star', 'd_y', 'd_phi', 'cos_theta_star']
Train: 82924 Omega, 40141 Anti | Val: 30767
OMEGA_ACCUM=4 | REG_LAMBDA=0.01 | LR=0.0005 | EMA=0.999
Checkpoint metric: Omega_recall at Anti_recall≥0.9
DensityRatioNet: 274,433 params
Starting NCE v2 training...

Epoch 098 | NCE: 4.4655 | f_anti: 1.121±7.79 | f_omega: -0.938 | Δf: 2.059 | Ω-rec@Anti0.9: 0.2866 (Anti=0.900) | Sweep: 0.3051 | LR: 0.000004 | No-improve: 4/30
Epoch 099 | NCE: 4.8937 | f_anti: 1.140±7.80 | f_omega: -0.932 | Δf: 2.071 | Ω-rec@Anti0.9: 0.2869 (Anti=0.900) | Sweep: 0.3051 | LR: 0.000002 | No-improve: 5/30
Epoch 100 | NCE: 5.6058 | f_anti: 1.148±7.88 | f_omega: -0.932 | Δf: 2.080 | Ω-rec@Anti0.9: 0.2866 (Anti=0.900) | Sweep: 0.3060 | LR: 0.000002 | No-improve: 6/30
Epoch 101 | NCE: 5.4273 | f_anti: 1.145±7.84 | f_omega: -0.929 | Δf: 2.074 | Ω-rec@Anti0.9: 0.2869 (Anti=0.900) | Sweep: 0.3063 | LR: 0.000002 | No-improve: 7/30
Epoch 102 | NCE: 4.4446 | f_anti: 1.110±7.77 | f_omega: -0.937 | Δf: 2.047 | Ω-rec@Anti0.9: 0.2873 (Anti=0.900) | Sweep: 0.3061 | LR: 0.000002 | No-improve: 0/30
Epoch 103 | NCE: 5.1839 | f_anti: 1.145±7.88 | f_omega: -0.928 | Δf: 2.072 | Ω-rec@Anti0.9: 0.2872 (Anti=0.900) | Sweep: 0.3064 | LR: 0.000002 | No-improve: 0/30
Epoch 104 | NCE: 4.7067 | f_anti: 1.124±7.79 | f_omega: -0.930 | Δf: 2.054 | Ω-rec@Anti0.9: 0.2867 (Anti=0.900) | Sweep: 0.3060 | LR: 0.000002 | No-improve: 1/30
Epoch 105 | NCE: 5.1598 | f_anti: 1.154±7.86 | f_omega: -0.927 | Δf: 2.081 | Ω-rec@Anti0.9: 0.2870 (Anti=0.900) | Sweep: 0.3061 | LR: 0.000002 | No-improve: 2/30
Epoch 106 | NCE: 5.1383 | f_anti: 1.199±7.99 | f_omega: -0.917 | Δf: 2.116 | Ω-rec@Anti0.9: 0.2874 (Anti=0.900) | Sweep: 0.3055 | LR: 0.000002 | No-improve: 3/30
Epoch 107 | NCE: 5.5306 | f_anti: 1.150±7.83 | f_omega: -0.922 | Δf: 2.072 | Ω-rec@Anti0.9: 0.2866 (Anti=0.900) | Sweep: 0.3058 | LR: 0.000002 | No-improve: 0/30
Epoch 108 | NCE: 5.4924 | f_anti: 1.174±7.91 | f_omega: -0.925 | Δf: 2.098 | Ω-rec@Anti0.9: 0.2861 (Anti=0.900) | Sweep: 0.3053 | LR: 0.000002 | No-improve: 1/30
Epoch 109 | NCE: 5.1843 | f_anti: 1.151±7.85 | f_omega: -0.933 | Δf: 2.084 | Ω-rec@Anti0.9: 0.2861 (Anti=0.900) | Sweep: 0.3048 | LR: 0.000002 | No-improve: 2/30
Epoch 110 | NCE: 5.7090 | f_anti: 1.178±7.92 | f_omega: -0.927 | Δf: 2.105 | Ω-rec@Anti0.9: 0.2868 (Anti=0.900) | Sweep: 0.3053 | LR: 0.000002 | No-improve: 3/30
Epoch 111 | NCE: 4.7468 | f_anti: 1.156±7.86 | f_omega: -0.937 | Δf: 2.093 | Ω-rec@Anti0.9: 0.2868 (Anti=0.900) | Sweep: 0.3048 | LR: 0.000002 | No-improve: 4/30
Epoch 112 | NCE: 4.9073 | f_anti: 1.174±7.96 | f_omega: -0.936 | Δf: 2.110 | Ω-rec@Anti0.9: 0.2861 (Anti=0.900) | Sweep: 0.3053 | LR: 0.000001 | No-improve: 5/30
Epoch 113 | NCE: 4.1120 | f_anti: 1.139±7.88 | f_omega: -0.942 | Δf: 2.080 | Ω-rec@Anti0.9: 0.2868 (Anti=0.900) | Sweep: 0.3048 | LR: 0.000001 | No-improve: 6/30
